Unix,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USDT,tradecount,Target,RSI,MA5,MA20
1766966400000,2025-12-29,BTCUSDT,87952.71,90406.08,86806.5,87237.13,19894.98575,1762011993.0377953,4793589,88485.49,-51.26998472520677,88441.00200000001,91956.64249999999
1766880000000,2025-12-28,BTCUSDT,87877.0,88088.75,87435.0,87952.71,4446.29285,390327299.1502763,1241426,87237.13,-146.78853533284163,88032.51800000001,91670.621
1766793600000,2025-12-27,BTCUSDT,87369.56,87984.0,87253.05,87877.01,4469.55156,391274205.274436,957536,87952.71,-156.4687053662523,87840.11200000001,91307.083
1766707200000,2025-12-26,BTCUSDT,87225.27,89567.75,86655.08,87369.56,18344.61505,1616722115.636646,4509482,87877.01,-156.5435674323959,87784.38,90898.014
1766620800000,2025-12-25,BTCUSDT,87669.44,88592.74,86934.72,87225.27,7096.58235,622970453.6497648,1992172,87369.56,-139.6740641859954,87532.33600000001,90479.0375
1766534400000,2025-12-24,BTCUSDT,87486.0,88049.89,86420.0,87669.45,9140.8432,797460526.4738462,2877239,87225.27,-121.59492896600796,87618.8,90014.921
1766448000000,2025-12-23,BTCUSDT,88620.79,88940.0,86601.9,87486.0,13910.32904,1219899607.2677548,4465080,87669.45,-33.67582406175697,87525.458,89618.521
1766361600000,2025-12-22,BTCUSDT,88658.87,90588.23,87900.0,88620.79,14673.2197,1310235631.747926,4847747,87486.0,-59.77987829552626,87674.21399999999,89484.7505
1766275200000,2025-12-21,BTCUSDT,88360.91,89081.77,87600.04,88658.86,7132.87258,629720971.7866651,2030666,88620.79,-110.4156579712772,87932.074,89367.011
1766188800000,2025-12-20,BTCUSDT,88136.95,88573.07,87795.76,88360.9,5123.13194,451919022.72775954,1174426,88658.86,-139.82074094331543,88159.19999999998,89259.821
1766102400000,2025-12-19,BTCUSDT,85516.41,89399.97,85110.24,88136.94,21256.65004,1863236625.932864,6482253,88360.9,-170.59019798836482,88252.698,89134.60399999999
1766016000000,2025-12-18,BTCUSDT,86243.23,89477.61,84450.01,85516.41,25405.41763,2204223872.6696463,6946947,88136.94,-95.40303915873896,87858.78,88842.21650000001
1765929600000,2025-12-17,BTCUSDT,87863.43,90365.85,85314.0,86243.22,19834.11729,1733348496.6703594,6058638,85516.41,-277.34519572953707,87383.26599999999,88466.979
1765843200000,2025-12-16,BTCUSDT,86432.08,88175.98,85266.0,87863.42,18456.05017,1604673428.6527836,6099692,86243.22,-752.2674297104725,87224.178,88167.1645
1765756800000,2025-12-15,BTCUSDT,88172.16,90052.64,85146.64,86432.08,19778.6919,1732823429.5017283,6747167,87863.42,-581.2843922737685,86838.414,87912.282
1765670400000,2025-12-14,BTCUSDT,90240.0,90472.4,87577.36,88172.17,9416.94004,839079130.8378651,3115749,86432.08,2599.170691697901,86845.46,87789.49
1765584000000,2025-12-13,BTCUSDT,90268.43,90634.55,89766.39,90240.01,5895.70788,532250544.59040153,1363754,88172.17,328.90308929327045,87790.18,87801.734
1765497600000,2025-12-12,BTCUSDT,92513.38,92754.0,89480.0,90268.42,16679.19169,1521683425.5648005,4956719,90240.01,269.08474365785105,88595.22,87873.203
1765411200000,2025-12-11,BTCUSDT,92015.38,93555.0,89260.63,92513.38,19972.58758,1814322119.065849,6250438,90268.42,189.96106359360888,89525.21199999998,88116.461
1765324800000,2025-12-10,BTCUSDT,92678.81,94476.0,91563.15,92015.37,18998.68083,1758773276.2478049,6025707,92513.38,220.92376297768948,90641.87,88292.95499999999
1765238400000,2025-12-09,BTCUSDT,90634.35,94588.99,89500.0,92678.8,21240.43014,1956261065.6071732,5940223,92015.37,197.66985056231704,91543.196,88565.0385
1765152000000,2025-12-08,BTCUSDT,90395.32,92287.15,89612.0,90634.34,15793.63887,1436920018.893613,5458731,92678.8,453.4185890591244,91622.062,88699.12000000001
1765065600000,2025-12-07,BTCUSDT,89236.8,91760.0,87719.28,90395.31,13021.11185,1167866486.8455212,3953071,90634.34,523.5820207895426,91647.44,88825.035
1764979200000,2025-12-06,BTCUSDT,89330.04,90289.97,88908.01,89236.79,8409.50016,753420679.8063259,2482221,90395.31,1038.0002055052578,90992.122,88918.3965
1764892800000,2025-12-05,BTCUSDT,92078.06,92692.36,88056.0,89330.04,19792.97218,1788436983.8106546,5520352,89236.79,769.8424272902583,90455.056,89023.635
1764806400000,2025-12-04,BTCUSDT,93429.95,94080.0,90889.0,92078.06,19803.94059,1836645629.33462,5856049,89330.04,181.85989804393745,90334.908,89244.0655
1764720000000,2025-12-03,BTCUSDT,91277.88,94150.0,90990.23,93429.95,25712.52585,2386223626.8613906,6733182,92078.06,174.73997214310288,90894.03,89541.263
1764633600000,2025-12-02,BTCUSDT,86286.01,92307.65,86184.39,91277.88,28210.22732,2519515177.662365,6397299,93429.95,320.34025878176914,91070.544,89674.11750000001
1764547200000,2025-12-01,BTCUSDT,90360.01,90417.0,83822.76,86286.01,34509.01227,2977024047.2231607,7709685,91277.88,-7488.11528719072,90480.38799999999,89555.475
1764460800000,2025-11-30,BTCUSDT,90802.44,92000.01,90336.9,90360.0,9687.74175,884051773.1655338,2154030,86286.01,606.6188872078733,90686.37999999999,89655.43000000001
1764374400000,2025-11-29,BTCUSDT,90890.71,91165.65,90155.47,90802.44,7429.88291,673725652.9787655,1677860,90360.0,2070.727023807379,90431.256,89788.705
1764288000000,2025-11-28,BTCUSDT,91333.94,93092.0,90180.63,90890.7,18830.86012,1721418035.0795596,4229754,90802.44,1881.185318506139,89923.40599999999,90057.41949999999
1764201600000,2025-11-27,BTCUSDT,90484.01,91950.0,90089.91,91333.95,16833.50932,1535778106.578708,3920172,90890.7,-839.7726020196158,89934.62000000001,90311.95599999999
1764115200000,2025-11-26,BTCUSDT,87369.97,90656.08,86306.77,90484.02,21675.82239,1916851896.6699688,4668280,91333.95,-646.7842100107796,90774.222,90442.986
1764028800000,2025-11-25,BTCUSDT,88300.01,88519.99,86116.0,87369.96,19567.0411,1708989000.038937,4838747,90484.02,-174.070041666353,90176.214,90489.87999999999
1763942400000,2025-11-24,BTCUSDT,86830.0,89228.0,85272.0,88300.01,24663.12795,2150393686.9203186,6189156,87369.96,-435.7203137516968,89675.728,90496.272
1763856000000,2025-11-23,BTCUSDT,84739.75,88127.64,84667.57,86830.0,19734.46418,1708685030.2798696,5063493,88300.01,-285.28094331208223,88863.588,90325.7715
